"","county","Tract","FIPS","County","Bay Area"
"258","001",72730,"06001440331",79831,87000
"259","001",161146,"06001440332",79831,87000
"260","001",122813,"06001440333",79831,87000
"261","001",113196,"06001440334",79831,87000
"262","001",119856,"06001440335",79831,87000
"263","001",78205,"06001440336",79831,87000
"264","001",86235,"06001441100",79831,87000
"265","001",108393,"06001441200",79831,87000
"266","001",121000,"06001441301",79831,87000
"267","001",108700,"06001441302",79831,87000
"268","001",110662,"06001441401",79831,87000
"269","001",128750,"06001441402",79831,87000
"270","001",135139,"06001441501",79831,87000
"271","001",151970,"06001441503",79831,87000
"272","001",123040,"06001441521",79831,87000
"273","001",93750,"06001441522",79831,87000
"274","001",125110,"06001441523",79831,87000
"275","001",153017,"06001441524",79831,87000
"276","001",110156,"06001441601",79831,87000
"277","001",90433,"06001441602",79831,87000
"278","001",95776,"06001441700",79831,87000
"279","001",105106,"06001441800",79831,87000
"280","001",120393,"06001441921",79831,87000
"281","001",84145,"06001441923",79831,87000
"282","001",120781,"06001441924",79831,87000
"283","001",112917,"06001441925",79831,87000
"284","001",81250,"06001441926",79831,87000
"285","001",94056,"06001441927",79831,87000
"286","001",163646,"06001442000",79831,87000
"287","001",167000,"06001442100",79831,87000
"288","001",158953,"06001442200",79831,87000
"289","001",86618,"06001442301",79831,87000
"290","001",79208,"06001442302",79831,87000
"291","001",100813,"06001442400",79831,87000
"292","001",74234,"06001442500",79831,87000
"293","001",126927,"06001442601",79831,87000
"294","001",96458,"06001442602",79831,87000
"295","001",112063,"06001442700",79831,87000
"296","001",97336,"06001442800",79831,87000
"297","001",101343,"06001442900",79831,87000
"298","001",100121,"06001443001",79831,87000
"299","001",84858,"06001443002",79831,87000
"300","001",160638,"06001443102",79831,87000
"301","001",214063,"06001443103",79831,87000
"302","001",125313,"06001443104",79831,87000
"303","001",153514,"06001443105",79831,87000
"304","001",214013,"06001443200",79831,87000
"305","001",146850,"06001443301",79831,87000
"306","001",114948,"06001443321",79831,87000
"307","001",149583,"06001443322",79831,87000
"308","001",98125,"06001444100",79831,87000
"309","001",89338,"06001444200",79831,87000
"310","001",96635,"06001444301",79831,87000
"311","001",74750,"06001444302",79831,87000
"312","001",82112,"06001444400",79831,87000
"313","001",89277,"06001444500",79831,87000
"314","001",103103,"06001444601",79831,87000
"315","001",101946,"06001444602",79831,87000
"316","001",128731,"06001450101",79831,87000
"317","001",145395,"06001450102",79831,87000
